"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","ParentTxFrom","ParentTxTo","ParentTxETH_Value","From","TxTo","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $4045.59366105672/ETH","Historical $Price/ETH","Status","ErrCode","Type","PrivateNote"
"0x170d528e571c5e3e94d7d70b3811b1050bb57d987c851300df72328b3a4eba9e","231839040","1720890633","2024-07-13 17:10:33","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000065608148","0","0.265423907662471","3176.67","0","","call",""
"0x07d3661a552234297bd46c5b620f10932f35cdbaaccf33eb0475d935afdc7238","231936775","1720915122","2024-07-13 23:58:42","0xc539cb358a58ac67185baad4d5e3f7fcfc903700","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000047293669","0","0.191330967514515","3176.67","0","","call",""
"0xceb2e6e8d4f69316cbbfda11171c8d85fc1d497d7fa7ff1c38130d4a8b1a497f","231948997","1720918195","2024-07-14 00:49:55","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.00002028211","0","0.0820531756488551","3246.12","0","","call",""
"0xceb2e6e8d4f69316cbbfda11171c8d85fc1d497d7fa7ff1c38130d4a8b1a497f","231948997","1720918195","2024-07-14 00:49:55","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000048515567","0","0.196274270317773","3246.12","0","","call",""
"0x99df5ca15d16f839efdbc186eb8a180c8bbcd637f5bbb22ad1796692c0dd2b6b","231949034","1720918204","2024-07-14 00:50:04","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.00002017812","0","0.0816324743640418","3246.12","0","","call",""
"0x99df5ca15d16f839efdbc186eb8a180c8bbcd637f5bbb22ad1796692c0dd2b6b","231949034","1720918204","2024-07-14 00:50:04","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.0001146376515372","0","0.463777356377325","3246.12","0","","call",""
"0xd8505eae1b1203c5eb3f1da3349fa161c812a2de48c268540eeafc6dbcc807dc","231949347","1720918283","2024-07-14 00:51:23","0xf1e1b2f4796d984ccb8485d43db0c64b83c1fa6d","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000031780054","0","0.12856918501044","3246.12","0","","call",""
"0xb49ed22519c93da1f8364e464ceb6537fa4c097368f3adf3af2d8382ab184732","232204428","1720982134","2024-07-14 18:35:34","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0.000068990792","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.00001608266","0","0.0650639073489305","3246.12","0","","call",""
"0xb49ed22519c93da1f8364e464ceb6537fa4c097368f3adf3af2d8382ab184732","232204428","1720982134","2024-07-14 18:35:34","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0.000068990792","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000070965704","0","0.287098402254828","3246.12","0","","call",""
"0x6d7d090509b3517e4b669fca040b29a616a2a38a92ba6bf4838f23b0e73f8639","232204435","1720982136","2024-07-14 18:35:36","0x8808c5e5bc9317bf8cb5ee62339594b8d95f77df","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.000033959892","0","0.137387923805371","3246.12","0","","call",""
"0xdb41456db6ccffc7914e251ab7c31a75f2c6c77b923d5aff55123095e5525fb8","232497710","1721055639","2024-07-15 15:00:39","0xeb2a53ff17a747b6000041fb4919b3250f2892e3","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.0002043138812075","0","0.826570942678958","3485.50","0","","call",""
"0x5ebb9b60c6619dc9077a99be92aa7b3165f4c6e76569c88647cd78e0edc7b638","232499951","1721056203","2024-07-15 15:10:03","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x9dda6ef3d919c9bc8885d5560999a3640431e8e6","0","0x0a2854fbbd9b3ef66f17d47284e7f899b9509330","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.001760715131445478","0","7.12313797470248","3485.50","0","","call",""
"0x38297a34df4f7fb14f7f4160c4b68859665226a00669ff955e82c9092d4fadaa","232500484","1721056334","2024-07-15 15:12:14","0xe47b36382dc50b90bcf6176ddb159c4b9333a7ab","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.0001188810136215","0","0.480944275127138","3485.50","0","","call",""
"0x997fec28935fb73a2efb42a460686fe9fb9e3831c2a823e3c395deff87ae07b5","232500753","1721056401","2024-07-15 15:13:21","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.00006690280441","0","0.270661561428014","3485.50","0","","call",""
"0x997fec28935fb73a2efb42a460686fe9fb9e3831c2a823e3c395deff87ae07b5","232500753","1721056401","2024-07-15 15:13:21","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x69c527fc77291722b52649e45c838e41be8bf5d5","0","0xb0fc2a48b873da40e7bc25658e5e6137616ac2ee","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","","0.00002014555959","0","0.0815007481757444","3485.50","0","","call",""
