Date (GMT-4),Action,Size,Market,Full market,Mark Price,Acceptable Price,Execution Price,Trigger Price,Price Impact,Transaction ID,PnL ($)
2024-08-20 10:00:39,Execute Limit,"+$2,567.85",Long BTC/USD,BTC/USD [BTC-USDC],"$60,895.45","<  $61,124.79","$60,940.08",,-$1.88,https://arbiscan.io/tx/0xfd1213ad5dcbd95365b413905c002c417708eb9f696ecfe5f2730f40b76ccb97,
2024-08-20 10:00:00,Create Limit,"+$2,567.85",Long BTC/USD,BTC/USD [BTC-USDC],,"<  $61,124.79",,"<  $60,899.46",,https://arbiscan.io/tx/0xd05f9c738255e5a208ea1eb817b3bbf368ebe9a0afa08b2edcb3647f50fb986f,
2024-08-20 10:00:00,Create Stop Loss,"-$2,567.85",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $60,382.78",,https://arbiscan.io/tx/0xd05f9c738255e5a208ea1eb817b3bbf368ebe9a0afa08b2edcb3647f50fb986f,
2024-08-20 07:12:19,Execute Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],"$60,620.82",,"$60,631.14",,+$0.57,https://arbiscan.io/tx/0x2580f9606e55d591de95386e484eab688e3b35940078ecfdee55e848cbc59dcf,$113.11
2024-08-20 04:41:48,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $60,621.02",,https://arbiscan.io/tx/0x9162bc8a9d2638888a2c65fe3a7567a175e91725ac127df41d47287124826c5c,
2024-08-19 21:32:36,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $59,866.09",,https://arbiscan.io/tx/0xb939659cbd828062eb75d2ce09f63e52d71ef0c4bbc5459896eb3a22c8f4b7e0,
2024-08-19 20:30:56,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $59,650.31",,https://arbiscan.io/tx/0x75f647e9423120c2acaf55d6be238a7f8cbd26427f016cee1b05c67a64e9df9b,
2024-08-19 19:38:44,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,913.19",,https://arbiscan.io/tx/0xba9b8e6ff14a48e4b575aebc9a85f2d635545dc9b6ca108a628216eb1b68ca30,
2024-08-19 16:36:38,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,669.58",,https://arbiscan.io/tx/0x2ab9734396aa34ccbe81004544e27009896b9a110cb3e22e75c85a1abd5b0461,
2024-08-19 14:54:53,Update Stop Loss,"-$3,223.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,443.40",,https://arbiscan.io/tx/0x514bcc42143586395f7ef7ba91e8505163b64bc89999c0e4d1ec346747756f17,
